CDL,lon,lat,scl,coastal,blue,green,red,rededge1,rededge2,rededge3,nir,nir08,nir09,swir16,swir22,bbox,year,tile,scene_date
Developed/Open Space,-90.56771640662959,35.57511282297581,10,2215,1490,1728,2032,2812,3922,4334,3396,4566,10532,4081,3026,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56338245186241,35.57491370866267,10,2037,2518,2088,2048,2775,4027,4426,4536,4679,10266,3925,2816,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56304907166394,35.574898385605636,10,2037,2504,2586,2318,2893,4044,4494,4809,4852,10266,3984,2875,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56271569159942,35.57488306160975,10,2187,2374,2574,2468,3020,4110,4527,4732,4867,10772,4041,3003,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5623823116689,35.57486773667514,10,2187,2240,2596,2322,2988,4178,4570,4676,4848,10772,4073,3024,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56204893187234,35.57485241080174,10,2015,1824,2126,2238,2864,4094,4597,4412,4801,9727,4126,2995,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56171555220978,35.574837083989586,10,2015,2004,2126,2358,2780,3993,4496,4353,4809,9727,4195,2966,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.5613821726812,35.57482175623865,10,1655,1844,2044,2258,2731,3780,4225,4132,4551,8013,4244,2977,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56104879328663,35.57480642754892,10,1655,1478,1888,1962,2555,3687,4103,4052,4338,8013,4029,2810,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56071541402608,35.574791097920524,10,1617,1554,1892,1952,2541,3687,4048,4044,4287,7799,3853,2859,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56038203489955,35.574775767353216,10,1617,1528,2042,2222,2764,3836,4153,4041,4268,7799,3815,2791,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
Developed/Open Space,-90.56004865590705,35.57476043584722,10,1721,1704,2104,2284,2831,3888,4091,4304,4368,8546,3796,2854,"484932, 1401912, 489035, 1405125",2019,15SYV_1,2019-09-08
